Фразеологизм,Дефиниция,Источники,Категория,Подкатегория,,Все категории:,,
"A green Christmas (or Yule, or winter) makes a full (or fat) churchyard.",,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Криомортальная семантика; Народно-поэтическая репрезентация; Религиозная репрезентация,,12,Социально-этическая семантика,"Связанное с взаимодействием с людьми, тут же смерть как моральный выбор (подкат.: полож.) и ""лучше быть живым трусом..."" (отриц.)",смерть как критерий соц.взаимодействия/соц.оценки
As good (or well) be hanged for a sheep as a lamb.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json",Народно-поэтическая репрезентация; Семантика насильственного взаимодействия; Социально-этическая семантика,Отрицательная,13,Хтоническая репрезентация,Связь с землей,
Look thy last on all things lovely every hour.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json","Фаталистическая репрезентация;
Темпоральная репрезентация",,14,Телесная деструкция,Разрушение физического,
Give a thief enough rope and he will hang himself.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Семантика насильственного взаимодействия; Фаталистическая репрезентация,,15,Дидактика,"Нравоучения, на том свете накажут",
Cowards die often.,,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json",Дидактика,,16,Античное наследие (Греция и Рим),,
Black Cap,a judge’s cap worn when passing sentence of death.,"A BOOK OF ENGLISH PROVERBS, WITH ORIGINS AND EXPLANATIONS COLLINS.json; Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham, 1810-1897.json",Семантика насильственного взаимодействия; Фаталистическая репрезентация,,,,,
Quietus,a release from life; death.,"Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json","Античное наследие (Греция и Рим);
Аксиологически позитивная репрезентация",,,,,
Doom,"impending catastrophe, misfortune, or hardship.","Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json",Фаталистическая репрезентация,,,,,
 Dire straits / Disaster,"impending catastrophe, misfortune, or hardship.","Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json",Семантика насильственного взаимодействия,,,,,
Columba / Dove,symbolizes the human soul; used in religious iconography at death.Dead man's hand / Hand of glory — hand of a hanged man believed to have magical properties.,"Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json",Античное наследие (Греция и Рим); Религиозная репрезентация,Библейское,,,,
To bite the glove,a pledge of deadly vengeance.,"Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json","Народно-поэтическая репрезентация;
Семантика насильственного взаимодействия",,,,,
Grass over the dead,expression referring to the natural covering over graves; also implies neglect or passage of time.,"Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json","Хтоническая репрезентация;
Фаталистическая репрезентация",,,,,
Hour of birth and death,belief that the times of birth and death are fixed and appointed.,"Dictionary of phrase and fable, giving the derivation, source, or origin of common phrases, allusions, and words by Brewer, Ebenezer Cobham.json","Темпоральная репрезентация;
Фаталистическая репрезентация",,,,,
To lead apes (in hell),To grow old and die without having ever married (archaic).,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия; Религиозная репрезентация; Дидактика,,,,,
To bite the dust,To fall in battle.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия,,,,,
To break up,To be near death; to show signs of approaching dissolution.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Пространственно-переходная модель,,,,,
To breathe one's last,To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Соматическая репрезентация; Фаталистическая репрезентация,,,,,
To do the business for a man,To kill a man; put an end to his life.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия,,,,,
Called to one's account,Removed by death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Дидактика,,,,,
To carry off,To cause the death of. | To cause the death of.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия,,,,,
To cut one's throat,"To ruin oneself by one’s own action, resulting in death.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Соматическая репрезентация;
Семантика насильственного взаимодействия",,,,,
The sword of Damocles,"A sword suspended by a single thread, ready to descend and kill the person below it.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Семантика насильственного взаимодействия; Фаталистическая репрезентация;
Античное наследие (Греция и Рим)",,,,,
To die for a friend,To sacrifice one’s life for another.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Положительная,,,,
Keep my bones from Davy Jones,A sailor’s term for death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Телесная деструкция;
Персонификация смерти; Акватическая метафорика; Народно-поэтическая репрезентация",,,,,
Davy Jones’s locker,The place where dead men go; a common expression for the sea as the receptacle of the dead. | The sea regarded as the resting place of drowned sailors.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Телесная деструкция;
Персонификация смерти; Акватическая метафорика; Народно-поэтическая репрезентация",,,,,
Stone dead,Without any life. | Completely dead; without life.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Хтоническая репрезентация,,,,,
Dead as a herring,"Completely dead. | Completely dead. | без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Акватическая метафорика,,,,,
Fatally,In a way that causes death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия; Фаталистическая репрезентация,,,,,
At death's door / At death’s door / Death at death's door / at death’s door,"Very near dying; on the point of expiring. | So ill that death is near. | To be dying. | при смерти, на пороге смерти.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Пространственно-переходная модель,,,,,
To do to death,To kill. | To kill.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия; Соматическая репрезентация,,,,,
Debt Deus,To pay the debt of nature; to die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Религиозная репрезентация; Античное наследие (Греция и Рим);
Фаталистическая репрезентация",,,,,
To dine with Mohammed,To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Религиозная репрезентация;
Народно-поэтическая репрезентация",,,,,
To die in the last ditch / in the last ditch,"To resist to the utmost; metaphorically “die trying.” | To resist to the very end; to fight to the death. | сражаться до последнего патрона, стоять насмерть; бороться до конца, костьми лечь, но не уступить.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Положительная,,,,
To waste away slowly but steadily,To die slowly; to waste away steadily.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Фаталистическая репрезентация;
Темпоральная репрезентация",,,,,
To become food for fishes,To be drowned. | To be drowned.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Акватическая метафорика;
Телесная деструкция",,,,,
To be food for worms,To be in one’s grave; to be dead and buried. | To be dead and buried.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Хтоническая репрезентация; Телесная деструкция,,,,,
Have one foot in the grave / With one foot in the grave / with one foot in the grave,Very feeble; having but a short time to live. | Be near death. | Very near death. | одной ногой в могиле; близко к смерти.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,"Хтоническая репрезентация;
Соматическая репрезентация",,,,,
To die game / die game,"To die in a courageous manner. | To die courageously. | сражаться до конца, умереть, но не сдаться; первоначально — о бойцовых петухах.",JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Положительная,,,,
I will throw my glove to Death itself,To challenge Death itself; readiness to face death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Социально-этическая семантика,Положительная,,,,
The golden bowl is broken,Euphemism for death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Религиозная репрезентация;
Фаталистическая репрезентация",,,,,
When I’m dead and gone / dead and gone,After one’s death. | After one’s death. | «умер и погребён»; давно прошедший.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,"Пространственно-переходная модель;
Темпоральная репрезентация",,,,,
To cook a person's goose / To cook a person’s goose,To cause someone’s death. | To cause someone’s death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Народно-поэтическая репрезентация;
Семантика насильственного взаимодействия",,,,,
It’s a gone goose with any one,There is no more hope for him; he is doomed.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Фаталистическая репрезентация,,,,,
To go off the handle,To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия,,,,,
To die in harness,To continue at one’s occupation until death; refuse to retire from active life.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Народно-поэтическая репрезентация,,,,,
To be under hatches,To be dead.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Пространственно-переходная модель;
Акватическая метафорика",,,,,
One’s long home,The grave; one’s final resting place. | The grave; final resting place.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Аксиологически позитивная репрезентация,,,,,
A fatal result from an affair of honour,Death as a consequence of a duel or conflict.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,"Социально-этическая семантика;
Семантика насильственного взаимодействия",Положительная,,,,
Off the hooks (b) / To slip off the hooks,Dead; no longer in existence. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Народно-поэтическая репрезентация; Акватическая метафорика,,,,,
To sup with Pluto,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Античное наследие (Греция и Рим);,,,,,
To put to the sword,To kill. | To kill.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия,,,,,
Beyond the veil,In the other world; in the regions of the dead. | In the world of the dead.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Пространственно-переходная модель,,,,,
To go the way of all flesh,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Пространственно-переходная модель;
Соматическая репрезентация; Фаталистическая репрезентация",,,,,
Dead men's bones,Reference to the dead; corpses.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Телесная деструкция,,,,,
To die in one's shoes,To die on the scaffold.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия,,,,,
To wait for another's shoes,To look forward with expectation to someone's death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Темпоральная репрезентация; Социально-этическая семантика,Отрицательная,,,,
To lay out,(a) to spend (of money). (b) to invest. (c) to prepare a corpse for the coffin. (d) to be willing to undertake the charge of.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Соматическая репрезентация,,,,,
To slip one's cable,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Народно-поэтическая репрезентация;
Акватическая метафорика",,,,,
To slip one’s wind,To lose one's breath; to die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Соматическая репрезентация;
Народно-поэтическая репрезентация",,,,,
To snuff off,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия; Народно-поэтическая репрезентация,,,,,
A stiff'un,A corpse. | A corpse.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Соматическая репрезентация,,,,,
To hop the twig,To die. | Depart suddenly; die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,"Пространственно-переходная модель;
Народно-поэтическая репрезентация",,,,,
To do the job for a man,To kill a man; cause his death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Семантика насильственного взаимодействия,,,,,
To join the majority,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Фаталистическая репрезентация,,,,,
To kick the bucket,To die. | To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Народно-поэтическая репрезентация,,,,,
To kick up the heels,To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Народно-поэтическая репрезентация; Соматическая репрезентация,,,,,
To kill one's man,To fight a duel with fatal results to one's opponent. | To fight a duel with fatal results.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия,,,,,
The king of terrors,To prepare the dead body for burial. | To prepare a dead body for burial.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,"Персонификация смерти;
Религиозная репрезентация",Библейское,,,,
On its last legs,About to perish; ready to fall; near death.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Народно-поэтическая репрезентация; Соматическая репрезентация,,,,,
To be no more,To be dead; deceased. | To be dead; deceased.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,Народно-поэтическая репрезентация; Фаталистическая репрезентация,,,,,
The narrow house,The grave; the resting place of the dead. | The grave.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json; The Penguin Dictionary of English Idioms.json,"Хтоническая репрезентация;
Аксиологически позитивная репрезентация",,,,,
To stick one's spoon in the wall,To die.,JAMES_MAIN_DIXON_DICTIONARY_Idiomatic_English_Phrases.json,Народно-поэтическая репрезентация,,,,,
Have blood on your hands,Be responsible for someone’s death.,Oxford-Dictionary-of-Idioms.json,"Соматическая репрезентация;
Семантика насильственного взаимодействия; Религиозная репрезентация",Библейское,,,,
"Over my dead
body",Used to express strong opposition (literally invoking one’s death).,Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,"Социально-этическая семантика;
Соматическая репрезентация",Положительная,,,,
Shuffle off this mortal coil,To die; leave life.,Oxford-Dictionary-of-Idioms.json,Пространственно-переходная модель; Аксиологически позитивная репрезентация; Народно-поэтическая репрезентация,,,,,
A gone coon,A person or thing as good as dead; in desperate straits.,Oxford-Dictionary-of-Idioms.json,Народно-поэтическая репрезентация; Семантика насильственного взаимодействия,"* гипотеза, что не от coon, а от barracoon - куда ссылали темнокожих",,,,
Pushing up the daisies,Dead and buried; euphemism for being in the grave.,Oxford-Dictionary-of-Idioms.json,Народно-поэтическая репрезентация; Хтоническая репрезентация,,,,,
Phintias condemned to death,Historical reference to execution.,Oxford-Dictionary-of-Idioms.json,Античное наследие (Греция и Рим); Семантика насильственного взаимодействия,,,,,
Dead as a dodo,"Completely dead; extinct. | без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Oxford-Dictionary-of-Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация,,,,,
From the dead,From a state of death or inactivity.,Oxford-Dictionary-of-Idioms.json,Пространственно-переходная модель; Религиозная репрезентация,Библейское,,,,
Be the death of smb.,"Cause someone’s death or great distress. | сильно огорчать кого-л., довести до беды; уморить кого-л. (со смеху, усталости и т.п.)",Oxford-Dictionary-of-Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Семантика насильственного взаимодействия,,,,,
Death’s head at the feast,A reminder of mortality; memento mori.,Oxford-Dictionary-of-Idioms.json,"Фаталистическая репрезентация;
Телесная деструкция; Античное наследие (Греция и Рим)",,,,,
Dice with death,Take serious risks. | играть со смертью (особ. о мотогонщиках).,Oxford-Dictionary-of-Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Негативная,,,,
Die in your bed,Suffer a peaceful death.,Oxford-Dictionary-of-Idioms.json,Аксиологически позитивная репрезентация,,,,,
Dig your own/one’s grave,Do something leading to your downfall.,Oxford-Dictionary-of-Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Хтоническая репрезентация; Социально-этическая семантика; Дидактика; Религиозная репрезентация,Негативная; Библейское,,,,
Drop dead,"To die suddenly or unexpectedly; expression of scorn. | жарг., «Убирайся!»; «Вон отсюда!», иди к чёрту!",Oxford-Dictionary-of-Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Фаталистическая репрезентация; Пространственно-переходная модель,,,,,
Gasp your last gasp,Near death; final effort or exhaustion.,Oxford-Dictionary-of-Idioms.json,"Соматическая репрезентация;
Фаталистическая репрезентация",,,,,
God’s acre,Churchyard; burial ground. | A churchyard; burial ground.,Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,"Религиозная репрезентация;
Хтоническая репрезентация",,,,,
The Grim Reaper,Personification of death. | The personification of death.,Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,Персонификация смерти,,,,,
"Hatches, matches, and despatches","Birth, marriage, and death notices in newspapers.",Oxford-Dictionary-of-Idioms.json,Народно-поэтическая репрезентация; Фаталистическая репрезентация,,,,,
Within an inch of your life,Almost to the point of death.,Oxford-Dictionary-of-Idioms.json,Фаталистическая репрезентация; Пространственно-переходная модель,,,,,
The kiss of death,"Event or action causing certain failure. | An act that destroys a project, relationship or life. | разг., «поцелуй смерти», благое дело с гибельными последствиями.",Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика; Персонификация смерти; Религиозная репрезентация,Негативная; Библейское,,,,
Lie in state,Corpse laid in public honor. | For a corpse to be laid out in public before burial.,Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json,Соматическая репрезентация,,,,,
Dead men’s shoes,Property or position available only upon someone. | Property or position available only after someone’s death.,Oxford-Dictionary-of-Idioms.json; The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Негативная,,,,
On the verge of death,Very close to dying.,The Penguin Dictionary of English Idioms.json,Пространственно-переходная модель; Фаталистическая репрезентация,,,,,
A brush with death,To have been close to getting killed.,The Penguin Dictionary of English Idioms.json,Пространственно-переходная модель,,,,,
To cheat death,To escape with one’s life.,The Penguin Dictionary of English Idioms.json,Социально-этическая семантика,Положительная,,,,
A death wish,Being tired of life; contemplating suicide.,The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия; Аксиологически позитивная репрезентация ,,,,,
Dead and buried,Completely finished; disposed of (originally referring to death and burial). | «умер и погребён»; давно прошедший.,The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Хтоническая репрезентация; Фаталистическая репрезентация,,,,,
As silent as the grave,Extremely quiet; deathly still.,The Penguin Dictionary of English Idioms.json,Хтоническая репрезентация; Семантика насильственного взаимодействия,,,,,
To frighten someone to death,To give someone a terrible shock or fright.,The Penguin Dictionary of English Idioms.json,Социально-этическая семантика; Семантика насильственного взаимодействия,Негативная,,,,
To hang over something like a pall,To cast a gloomy or oppressive atmosphere (originally alluding to a funeral pall).,The Penguin Dictionary of English Idioms.json,Семантика насильственного взаимодействия; Аксиологически позитивная репрезентация,,,,,
To tempt fate,To provoke fate by taking a needless risk.,The Penguin Dictionary of English Idioms.json,Социально-этическая семантика,Негативная,,,,
To seal one’s fate,To make one’s doom or death inevitable.,The Penguin Dictionary of English Idioms.json,"Социально-этическая семантика;
Семантика насильственного взаимодействия; Фаталистическая репрезентация",Негативная,,,,
A fate worse than death,Something regarded as more terrible than death. | хуже смерти.,The Penguin Dictionary of English Idioms.json; Кунин_А_В_Англо_русский_фразеологический_словарь.json,Социально-этическая семантика,Положительная,,,,
As a man lives so shall he die (as a tree falls so shall he lie).,,a-dictionary-of-proverbs-and-sayings-ser-pr.json,Дидактика; Религиозная репрезентация,Библейское,,,,
A cur’s death for a cur!,,a-dictionary-of-proverbs-and-sayings-ser-pr.json,Народно-поэтическая репрезентация; Дидактика,,,,,
Let the dead bury the dead.,,a-dictionary-of-proverbs-and-sayings-ser-pr.json,Религиозная репрезентация,Библейское,,,,
Better be a live coward than a dead hero.,,a-dictionary-of-proverbs-and-sayings-ser-pr.json,Социально-этическая семантика,Негативная,,,,
There is a remedy for everything except death.,,a-dictionary-of-proverbs-and-sayings-ser-pr.json,Народно-поэтическая репрезентация; Фаталистическая репрезентация; Соматическая репрезентация,,,,,
die with one’s boots on,"умереть своей смертью. | умереть за работой, умереть на своём посту; умереть насильственной смертью.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация; Семантика насильственного взаимодействия,,,,,
be dead with cold,промёрзнуть до костей.,Кунин_А_В_Англо_русский_фразеологический_словарь.json,Криомортальная семантика,,,,,
(as) dead as a door-nail,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация,,,,,
dead as Julius Caesar,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Античное наследие (Греция и Рим),,,,,
dead as a mutton,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век. | без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация,,,,,
dead as Queen Anne,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Народно-поэтическая репрезентация,,,,,
dead as a mackerel,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Акватическая метафорика; Народно-поэтическая репрезентация,,,,,
dead as Moses,"без каких-л. признаков жизни, бездыханный; погибший окончательно; утративший силу, вышедший из употребления, отживший свой век.",Кунин_А_В_Англо_русский_фразеологический_словарь.json,Религиозная репрезентация; Народно-поэтическая репрезентация,,,,,
